Price,Units Sold,Location,Product Score,Store Score,Price Cat,Product Score Cat,Store Score Cat
23500,100000,JAWA BARAT,108652,42240.0,Medium,High,High
9306,50000,DKI JAKARTA,53772,3122770.0,Low-Medium,High,High
16000,50000,DKI JAKARTA,49672,2047220.0000000002,Medium,High,High
10499,50000,DKI JAKARTA,47228,648270.0,Low-Medium,High,High
13400,10000,DKI JAKARTA,40304,2047220.0000000002,Medium,High,High
12900,50000,DKI JAKARTA,38532,648270.0,Low-Medium,High,High
8399,50000,JAWA BARAT,52564,116620.00000000001,Low,High,High
32899,100000,JAWA BARAT,52976,350400.0,High,High,High
10400,50000,DKI JAKARTA,36088,2047220.0000000002,Low-Medium,High,High
8499,50000,JAWA BARAT,46108,116620.00000000001,Low,High,High
8399,50000,JAWA TIMUR,40996,193440.0,Low,High,High
8459,100000,JAWA BARAT,46812,116620.00000000001,Low,High,High
32999,10000,JAWA BARAT,30856,350400.0,High,High,High
8400,50000,DKI JAKARTA,30148,2047220.0000000002,Low,High,High
16000,10000,DKI JAKARTA,31228,3122770.0,Medium,High,High
12500,50000,JAWA BARAT,51912,67200.0,Low-Medium,High,High
11286,10000,DKI JAKARTA,30288,3122770.0,Low-Medium,High,High
34800,50000,JAWA BARAT,58700,99840.0,High,High,High
34800,50000,JAWA BARAT,52284,99840.0,High,High,High
34800,50000,JAWA BARAT,56724,99840.0,High,High,High
12499,50000,JAWA BARAT,36668,65660.0,Low-Medium,High,High
12725,10000,JAWA BARAT,25632,109270.00000000001,Low-Medium,High,High
39679,10000,JAWA BARAT,25504,16500.0,High,High,Medium
11000,50000,BANTEN,23776,91630.0,Low-Medium,High,High
8000,10000,DKI JAKARTA,23240,2047220.0000000002,Low,Medium,High
8500,50000,JAWA BARAT,25688,81340.0,Low,High,High
22000,10000,DKI JAKARTA,22896,104370.00000000001,Medium,Medium,High
15500,10000,DKI JAKARTA,22732,648270.0,Medium,Medium,High
21243,10000,DKI JAKARTA,23900,235200.00000000003,Medium,High,High
11500,10000,JAWA BARAT,37460,175910.0,Low-Medium,High,High
23500,50000,DKI JAKARTA,21928,584570.0,Medium,Medium,High
21243,10000,DKI JAKARTA,23968,235200.00000000003,Medium,High,High
7000,10000,DKI JAKARTA,20264,2047220.0000000002,Low,Medium,High
8499,50000,JAWA BARAT,22644,74480.0,Low,Medium,High
12499,50000,JAWA BARAT,38664,65660.0,Low-Medium,High,High
27900,10000,DKI JAKARTA,21132,222460.00000000003,High,Medium,High
14300,10000,DKI JAKARTA,21192,348960.0,Medium,Medium,High
11750,50000,JAWA BARAT,27808,65660.0,Low-Medium,High,High
15900,10000,DKI JAKARTA,20096,2047220.0000000002,Medium,Medium,High
44900,6000,JAWA BARAT,15935,4838750.0,High,Medium,High
28709,10000,JAWA BARAT,22940,18240.0,High,Medium,Medium
19800,10000,JAWA TENGAH,24516,5390000.0,Medium,High,High
8399,10000,JAWA TIMUR,22340,123970.00000000001,Low,Medium,High
11499,10000,JAWA BARAT,38728,175910.0,Low-Medium,High,High
10400,10000,DKI JAKARTA,16644,3122770.0,Low-Medium,Medium,High
15500,10000,DKI JAKARTA,16132,648270.0,Medium,Medium,High
14999,6000,BANTEN,17092,586530.0,Medium,Medium,High
12500,10000,JAWA BARAT,19544,15840.0,Low-Medium,Medium,Medium
5940,10000,DKI JAKARTA,15084,3122770.0,Low,Medium,High
90000,5000,DKI JAKARTA,17084,209230.00000000003,High,Medium,High
11499,10000,JAWA BARAT,25184,175910.0,Low-Medium,High,High
5000,10000,DKI JAKARTA,20984,2047220.0000000002,Low,Medium,High
49799,10000,JAWA BARAT,18844,18240.0,High,Medium,Medium
12500,10000,JAWA BARAT,33848,31680.0,Low-Medium,High,High
24900,6000,JAWA BARAT,15828,59290.00000000001,High,Medium,High
8500,10000,JAWA BARAT,14948,69580.0,Low,Medium,High
27550,8000,BANTEN,14892,21070.0,High,Medium,Medium
5500,10000,DKI JAKARTA,14276,3122770.0,Low,Medium,High
8399,10000,JAWA TIMUR,30780,193440.0,Low,High,High
8900,10000,DKI JAKARTA,14564,3122770.0,Low,Medium,High
38999,17,DKI JAKARTA,25,80850.0,High,Low,High
13400,10000,DKI JAKARTA,40304,2047220.0000000002,Medium,High,High
12500,5000,BANTEN,3530,2565.0,Low-Medium,Low,Low
22000,10000,DKI JAKARTA,22896,104370.00000000001,Medium,Medium,High
8900,7000,DKI JAKARTA,6804,3122770.0,Low,Low,High
17999,10000,DKI JAKARTA,14760,420420.00000000006,Medium,Medium,High
16000,10000,JAWA TENGAH,20736,70560.0,Medium,Medium,High
7600,10000,JAWA BARAT,13724,219030.00000000003,Low,Medium,High
7999,10000,JAWA BARAT,13504,69580.0,Low,Medium,High
7400,10000,DKI JAKARTA,13356,2047220.0000000002,Low,Medium,High
23300,10000,JAWA BARAT,23228,15360.0,Medium,Medium,Medium
5500,10000,DKI JAKARTA,13096,2047220.0000000002,Low,Medium,High
8499,50000,JAWA BARAT,22236,81340.0,Low,Medium,High
10000,10000,JAWA BARAT,13360,138670.0,Low-Medium,Medium,High
8399,10000,JAWA BARAT,17588,116620.00000000001,Low,Medium,High
9399,10000,JAWA BARAT,12672,90160.0,Low-Medium,Low-Medium,High
10999,10000,JAWA TIMUR,12196,24480.0,Low-Medium,Low-Medium,High
12999,10000,JAWA BARAT,12668,39840.0,Low-Medium,Low-Medium,High
8400,10000,DKI JAKARTA,11500,2047220.0000000002,Low,Low-Medium,High
12499,10000,JAWA BARAT,14316,71050.0,Low-Medium,Medium,High
32999,10000,JAWA BARAT,18076,16800.0,High,Medium,Medium
88990,8000,JAWA BARAT,19056,350840.0,High,Medium,High
8399,10000,JAWA TIMUR,17620,123970.00000000001,Low,Medium,High
23000,50000,DKI JAKARTA,11140,584570.0,Medium,Low-Medium,High
18216,10000,DKI JAKARTA,10692,3122770.0,Medium,Low-Medium,High
19777,9000,JAWA BARAT,10860,556800.0,Medium,Low-Medium,High
18800,10000,BANTEN,13988,44640.0,Medium,Medium,High
8316,10000,DKI JAKARTA,10460,3122770.0,Low,Low-Medium,High
12900,10000,JAWA TENGAH,17656,36480.0,Low-Medium,Medium,High
9999,10000,JAWA TIMUR,10784,34300.0,Low-Medium,Low-Medium,High
89700,3000,JAWA BARAT,10984,204330.00000000003,High,Low-Medium,High
8888,10000,JAWA BARAT,14264,16800000.0,Low,Medium,High
8999,10000,JAWA BARAT,11384,104370.00000000001,Low-Medium,Low-Medium,High
45400,10000,DKI JAKARTA,16724,6240.0,High,Medium,Low
8399,10000,JAWA TIMUR,14548,123970.00000000001,Low,Medium,High
11500,10000,JAWA BARAT,11632,71050.0,Low-Medium,Low-Medium,High
9399,10000,JAWA BARAT,9884,90160.0,Low-Medium,Low-Medium,High
7920,10000,DKI JAKARTA,9788,3122770.0,Low,Low-Medium,High
28999,4000,DKI JAKARTA,8955,117600.00000000001,High,Low-Medium,High
30000,9000,DKI JAKARTA,9728,668640.0,High,Low-Medium,High
22900,10000,DKI JAKARTA,14764,1903.5,Medium,Medium,Low
12642,10000,DKI JAKARTA,14028,87360.0,Low-Medium,Medium,High
19800,5000,JAWA TENGAH,9685,5390000.0,Medium,Low-Medium,High
11400,10000,DKI JAKARTA,9172,2047220.0000000002,Low-Medium,Low-Medium,High
8500,10000,JAWA BARAT,12516,74480.0,Low,Low-Medium,High
93210,2000,JAWA BARAT,9732,55370.00000000001,High,Low-Medium,High
6199,10000,JAWA TIMUR,14764,16320.0,Low,Medium,Medium
10900,10000,DKI JAKARTA,8900,648270.0,Low-Medium,Low,High
11000,10000,DKI JAKARTA,8392,2047220.0000000002,Low-Medium,Low,High
45000,10000,JAWA BARAT,14172,42240.0,High,Medium,High
8999,10000,JAWA TIMUR,11880,4564.8,Low-Medium,Low-Medium,Low
42999,8000,BANTEN,13220,23520.0,High,Medium,High
8399,10000,JAWA TIMUR,11516,123970.00000000001,Low,Low-Medium,High
9399,10000,JAWA BARAT,8248,90160.0,Low-Medium,Low,High
10500,10000,JAWA BARAT,9312,63210.00000000001,Low-Medium,Low-Medium,High
10900,10000,JAWA BARAT,8404,49980.0,Low-Medium,Low,High
35000,10000,BANTEN,19032,125490.0,High,Medium,High
7000,10000,DKI JAKARTA,7908,3122770.0,Low,Low,High
10296,10000,DKI JAKARTA,7972,3122770.0,Low-Medium,Low,High
6000,10000,DKI JAKARTA,7964,2047220.0000000002,Low,Low,High
46000,10000,JAWA TENGAH,12800,154160.0,High,Low-Medium,High
7400,10000,DKI JAKARTA,11000,2047220.0000000002,Low,Low-Medium,High
19949,10000,JAWA BARAT,12708,7680.0,Medium,Low-Medium,Low
19777,8000,JAWA BARAT,7544,556800.0,Medium,Low,High
40000,5000,BANTEN,10252,125490.0,High,Low-Medium,High
43900,1000,DKI JAKARTA,1284,23030.0,High,Low,Medium
10296,10000,DKI JAKARTA,7972,3122770.0,Low-Medium,Low,High
11286,10000,DKI JAKARTA,30288,3122770.0,Low-Medium,High,High
39998,2000,JAWA BARAT,2164,16500.0,High,Low,Medium
8500,10000,JAWA BARAT,14948,69580.0,Low,Medium,High
15600,9000,DKI JAKARTA,7356,284690.0,Medium,Low,High
12300,10000,DKI JAKARTA,8300,94560.0,Low-Medium,Low,High
8900,7000,DKI JAKARTA,7084,2047220.0000000002,Low,Low,High
66900,9000,JAWA BARAT,8304,1754.2,High,Low,Low
38500,6000,BANTEN,10232,36480.0,High,Low-Medium,High
3450,10000,DKI JAKARTA,7000,117600.00000000001,Low,Low,High
48955,5000,JAWA BARAT,11256,350840.0,High,Low-Medium,High
2288,10000,JAWA BARAT,10092,16800000.0,Low,Low-Medium,High
3993,10000,JAWA BARAT,20920,350400.0,Low,Medium,High
17500,7000,DKI JAKARTA,7008,648270.0,Medium,Low,High
8900,7000,DKI JAKARTA,6804,3122770.0,Low,Low,High
11499,10000,JAWA BARAT,15488,175910.0,Low-Medium,Medium,High
26899,9000,DKI JAKARTA,7552,28320.0,High,Low,High
7500,10000,JAWA BARAT,8732,74480.0,Low,Low,High
10890,10000,DKI JAKARTA,6528,3122770.0,Low-Medium,Low,High
19900,8000,JAWA BARAT,9696,120050.00000000001,Medium,Low-Medium,High
7326,7000,DKI JAKARTA,6832,3122770.0,Low,Low,High
18819,10000,JAWA BARAT,15248,17280.0,Medium,Medium,Medium
19777,6000,JAWA BARAT,6500,556800.0,Medium,Low,High
15500,10000,DKI JAKARTA,7180,235200.00000000003,Medium,Low,High
8500,8000,JAWA BARAT,11040,175910.0,Low,Low-Medium,High
8000,10000,JAWA BARAT,6440,92000.0,Low,Low,High
8316,8000,DKI JAKARTA,6528,3122770.0,Low,Low,High
73636,2000,DKI JAKARTA,6700,14000.0,High,Low,Medium
29900,7000,DKI JAKARTA,6992,284690.0,High,Low,High
8181,10000,JAWA BARAT,13304,10560.0,Low,Medium,Low-Medium
12499,9000,JAWA BARAT,8636,65660.0,Low-Medium,Low,High
22000,10000,JAWA BARAT,10016,19110.0,Medium,Low-Medium,Medium
8399,10000,JAWA BARAT,8832,116620.00000000001,Low,Low,High
11000,8000,BANTEN,6132,91630.0,Low-Medium,Low,High
19777,5000,JAWA BARAT,6324,556800.0,Medium,Low,High
11500,10000,JAWA BARAT,10320,175910.0,Low-Medium,Low-Medium,High
3910,10000,JAWA BARAT,12436,220320.0,Low,Low-Medium,High
19800,4000,JAWA TENGAH,7596,5390000.0,Medium,Low,High
8999,10000,DKI JAKARTA,6256,7840.000000000001,Low-Medium,Low,Low
89700,2000,JAWA BARAT,6268,204330.00000000003,High,Low,High
7750,10000,JAWA BARAT,8216,65660.0,Low,Low,High
105000,3000,JAWA BARAT,8176,118580.00000000001,High,Low,High
29900,3000,DKI JAKARTA,5570,222460.00000000003,High,Low,High
39899,5000,JAWA BARAT,8068,93100.0,High,Low,High
