Price,Location,Rating,Review,Units Sold,Product Rating Score,Store Rating,Store Review
Rp23.500,Kab. Bogor,19379 rating • 7784 ulasan,19379 rating • 7784 ulasan,Terjual 100 rb+,4.9,4.8,"(8,8 rb)"
Rp9.306,Kota Administrasi Jakarta Barat,11364 rating • 2079 ulasan,11364 rating • 2079 ulasan,Terjual 50 rb+,4.9,4.9,"(637,3 rb)"
Rp16.000,Kota Administrasi Jakarta Barat,10544 rating • 1874 ulasan,10544 rating • 1874 ulasan,Terjual 50 rb+,4.9,4.9,"(417,8 rb)"
Rp10.499,Kota Administrasi Jakarta Barat,9491 rating • 2316 ulasan,9491 rating • 2316 ulasan,Terjual 50 rb+,4.9,4.9,"(132,3 rb)"
Rp13.400,Kota Administrasi Jakarta Barat,8345 rating • 1731 ulasan,8345 rating • 1731 ulasan,Terjual 10 rb+,4.9,4.9,"(417,8 rb)"
Rp12.900,Kota Administrasi Jakarta Barat,7838 rating • 1795 ulasan,7838 rating • 1795 ulasan,Terjual 50 rb+,4.9,4.9,"(132,3 rb)"
Rp8.399,Kab. Bandung,7773 rating • 5368 ulasan,7773 rating • 5368 ulasan,Terjual 50 rb+,4.9,4.9,"(23,8 rb)"
Rp32.899,Kab. Bogor,7644 rating • 5600 ulasan,7644 rating • 5600 ulasan,Terjual 100 rb+,4.9,4.8,(73 rb)
Rp10.400,Kota Administrasi Jakarta Barat,7637 rating • 1385 ulasan,7637 rating • 1385 ulasan,Terjual 50 rb+,4.9,4.9,"(417,8 rb)"
Rp8.499,Kab. Bandung,6682 rating • 4845 ulasan,6682 rating • 4845 ulasan,Terjual 50 rb+,4.9,4.9,"(23,8 rb)"
Rp8.399,Kota Blitar,6593 rating • 3656 ulasan,6593 rating • 3656 ulasan,Terjual 50 rb+,4.9,4.8,"(40,3 rb)"
Rp8.459,Kab. Bandung,6573 rating • 5130 ulasan,6573 rating • 5130 ulasan,Terjual 100 rb+,4.9,4.9,"(23,8 rb)"
Rp32.999,Kab. Bogor,6407 rating • 1307 ulasan,6407 rating • 1307 ulasan,Terjual 10 rb+,4.9,4.8,(73 rb)
Rp8.400,Kota Administrasi Jakarta Barat,6391 rating • 1146 ulasan,6391 rating • 1146 ulasan,Terjual 50 rb+,4.9,4.9,"(417,8 rb)"
Rp16.000,Kota Administrasi Jakarta Barat,6385 rating • 1422 ulasan,6385 rating • 1422 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
Rp12.500,Kab. Bogor,9031 rating • 3947 ulasan,9031 rating • 3947 ulasan,Terjual 50 rb+,4.8,4.8,(14 rb)
Rp11.286,Kota Administrasi Jakarta Barat,6316 rating • 1256 ulasan,6316 rating • 1256 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
Rp34.800,Kab. Bekasi,8608 rating • 6067 ulasan,8608 rating • 6067 ulasan,Terjual 50 rb+,4.8,4.8,"(20,8 rb)"
